,key,latitude,longitude,confirmed_sum,death_sum,recovered_sum,incidence_rate_avg,active_sum,Case-Fatality_Ratio
603,"Tlaxcala, Mexico",19.3139,-98.2404,7165,1002,5994,519.1987600098839,169,13.984647592463364
604,"Tocantins, Brazil",-10.1753,-48.2982,63167,866,45266,4016.0445962974595,17035,1.3709690186331471
605,"Tochigi, Japan",36.689912,139.819213,385,1,313,19.90703157720567,71,0.2597402597402597
606,"Tokushima, Japan",33.919178,134.242091,147,9,107,20.192945656250128,31,6.122448979591836
607,"Tokyo, Japan",35.711343,139.446921,24056,390,21208,172.8078612347702,2458,1.6212171599600933
608,"Tolima, Colombia",4.0925,-75.1545,10862,277,8129,816.5769173807892,2456,2.550174921745535
609,"Tomsk Oblast, Russia",58.6124279,82.04753149999998,6713,78,5462,622.5655673850947,1173,1.161924623864144
610,"Tonkolili District, Sierra Leone",8.460555000000001,-11.779889,2159,72,1650,27.065363668102673,437,3.33487725798981
611,"Toscana, Italy",43.76923077,11.25588885,13665,1152,9686,366.38915112741415,2827,8.430296377607025
612,"Tottori, Japan",35.359069,133.863619,36,0,23,6.479971488125452,13,0.0
613,"Toyama, Japan",36.637464,137.26934599999998,410,25,374,39.29077280158543,11,6.097560975609756
614,"Tripura, India",23.746783,91.743565,21484,235,14142,515.2292895044695,7107,1.093837274250605
615,"Trongsa District, Bhutan",27.5142,90.4336,259,0,190,33.566092803118664,69,0.0
616,"Tula Oblast, Russia",53.9570701,37.3690909,9808,356,8801,657.4365471175147,651,3.6296900489396413
617,"Tumbes, Peru",-3.857496,-80.54525500000003,6735,293,0,2677.9324055666,6442,4.3504083147735715
618,"Turks and Caicos Islands, United Kingdom",21.69400000000001,-71.7979,668,5,572,1725.2957280851285,91,0.7485029940119761
619,"Tver Oblast, Russia",57.1134475,35.174442799999994,5862,227,4416,456.58721695993296,1219,3.8723984988058686
620,"Tyumen Oblast, Russia",58.8206488,70.36588370000001,8754,36,7402,237.081572960676,1316,0.411240575736806
621,"Tyva Republic, Russia",51.4017149,93.8582593,7321,71,6609,2275.5671045188087,641,0.9698128670946592
622,"Ucayali, Peru",-9.621718,-73.444929,15295,309,0,2596.3333899168224,14986,2.020268061457993
623,"Udmurt Republic, Russia",57.1961165,52.69598320000001,4245,62,3261,280.5602480826731,922,1.4605418138987045
624,"Ulyanovsk Oblast, Russia",54.1463177,47.2324921,14154,140,12136,1135.3919163689275,1878,0.9891196834817012
625,"Umbria, Italy",43.10675841,12.38824698,2192,83,1638,248.52185053542166,471,3.786496350364964
626,"Unknown, Andorra",42.5063,1.5218,1564,53,1164,2024.202420242024,347,3.3887468030690537
627,"Unknown, Antigua and Barbuda",17.0608,-61.7964,96,3,92,98.03120660076792,1,3.125
628,"Unknown, Bahamas",25.025885,-78.035889,3214,73,1679,817.2959557327691,1462,2.271313005600498
629,"Unknown, Barbados",13.1939,-59.5432,185,7,172,64.37671163756956,6,3.783783783783784
630,"Unknown, Brunei",4.5353,114.7277,145,3,142,33.144145029635446,0,2.0689655172413794
631,"Unknown, Burkina Faso",12.2383,-1.5616,1816,56,1176,8.687632628719763,584,3.0837004405286343
632,"Unknown, Cabo Verde",16.5388,-23.0418,5186,50,4581,932.7539443297336,555,0.9641342074816814
633,"Unknown, Croatia",45.1,15.2,14725,244,12353,358.6854743709788,2128,1.6570458404074704
634,"Unknown, Denmark",56.2639,9.5018,22436,635,17316,387.3483025370485,4485,2.8302727758958817
635,"Unknown, Estonia",58.5953,25.0136,2875,64,2374,216.72939883410893,437,2.226086956521739
636,"Unknown, Finland",61.92411,25.748151,8922,339,7700,161.0260619652543,883,3.799596503026227
637,"Unknown, Grenada",12.1165,-61.679,24,0,24,21.329730978768033,0,0.0
638,"Unknown, Holy See",41.9029,12.4534,12,0,12,1483.3127317676144,0,0.0
639,"Unknown, Hungary",47.1625,19.5033,16920,675,4382,175.14893352725315,11863,3.9893617021276597
640,"Unknown, Iceland",64.9631,-19.0208,2307,10,2116,676.0439560439562,181,0.43346337234503685
641,"Unknown, Iran",32.427908,53.68804599999999,419043,24118,357632,498.90256864763404,37293,5.755495259436382
642,"Unknown, Ireland",53.1424,-7.6921,32538,1792,23364,658.957964241536,7382,5.507406724445264
643,"Unknown, Jamaica",18.1096,-77.2975,4758,60,1327,160.68021968410363,3371,1.2610340479192939
644,"Unknown, Korea, South",35.90775700000001,127.766922,22975,383,20158,44.8124948665556,2434,1.6670293797606095
645,"Unknown, Kosovo",42.602636,20.902977,12683,488,8788,700.5765684949894,3407,3.847670109595522
646,"Unknown, Liechtenstein",47.14,9.55,113,1,109,296.3001809266592,3,0.8849557522123894
